Agent,Answered (Y/N),Avg Talk Duration,Call Id,Date,Resolved,Time,Topic,Satisfaction rating,Speed of answer in seconds
Jim,Y,30-12-1899 00:02:27,ID0020,2021-01-01,Y,30-12-1899 12:01:26,Contract related,3,101
Jim,Y,30-12-1899 00:05:22,ID0021,2021-01-01,Y,30-12-1899 12:02:53,Technical Support,5,74
Dan,Y,30-12-1899 00:05:50,ID0022,2021-01-01,Y,30-12-1899 12:02:53,Admin Support,5,89
Martha,N,,ID0023,2021-01-01,N,30-12-1899 12:02:53,Technical Support,,
Joe,Y,30-12-1899 00:05:25,ID0024,2021-01-01,Y,30-12-1899 12:02:53,Technical Support,2,68
Diane,Y,30-12-1899 00:04:09,ID0025,2021-01-01,Y,30-12-1899 12:30:14,Streaming,3,97
Dan,N,,ID0026,2021-01-01,N,30-12-1899 12:30:14,Payment related,,
Joe,Y,30-12-1899 00:04:00,ID0027,2021-01-01,Y,30-12-1899 12:40:19,Streaming,3,39
Martha,Y,30-12-1899 00:02:34,ID0028,2021-01-01,Y,30-12-1899 12:40:19,Contract related,4,51
Joe,Y,30-12-1899 00:02:09,ID0029,2021-01-01,Y,30-12-1899 12:40:19,Technical Support,4,106
Stewart,Y,30-12-1899 00:05:55,ID0030,2021-01-01,Y,30-12-1899 12:40:19,Streaming,3,107
Joe,Y,30-12-1899 00:05:08,ID0031,2021-01-01,Y,30-12-1899 13:24:58,Admin Support,3,22
Joe,Y,30-12-1899 00:02:08,ID0032,2021-01-01,Y,30-12-1899 13:24:58,Streaming,4,122
Diane,Y,30-12-1899 00:06:49,ID0033,2021-01-01,Y,30-12-1899 13:33:36,Technical Support,3,57
Jim,Y,30-12-1899 00:01:44,ID0034,2021-01-01,N,30-12-1899 13:33:36,Payment related,2,53
Becky,Y,30-12-1899 00:01:31,ID0035,2021-01-01,Y,30-12-1899 13:42:14,Streaming,5,119
Diane,N,,ID0036,2021-01-01,N,30-12-1899 13:42:14,Streaming,,
Martha,Y,30-12-1899 00:01:12,ID0037,2021-01-01,N,30-12-1899 13:42:14,Technical Support,2,20
Joe,Y,30-12-1899 00:00:36,ID0038,2021-01-01,Y,30-12-1899 13:42:14,Technical Support,3,52
Stewart,Y,30-12-1899 00:06:41,ID0039,2021-01-01,Y,30-12-1899 14:38:24,Contract related,1,74
Greg,Y,30-12-1899 00:02:29,ID0040,2021-01-01,Y,30-12-1899 14:38:24,Technical Support,3,49
Jim,Y,30-12-1899 00:02:09,ID0041,2021-01-01,Y,30-12-1899 14:47:02,Technical Support,5,27
Greg,Y,30-12-1899 00:04:54,ID0042,2021-01-01,Y,30-12-1899 14:47:02,Contract related,5,100
Diane,Y,30-12-1899 00:06:21,ID0043,2021-01-01,Y,30-12-1899 14:47:02,Technical Support,3,45
Becky,Y,30-12-1899 00:03:14,ID0044,2021-01-01,Y,30-12-1899 14:47:02,Payment related,5,98
Diane,Y,30-12-1899 00:05:13,ID0045,2021-01-01,Y,30-12-1899 15:44:38,Admin Support,5,25
Jim,N,,ID0046,2021-01-01,N,30-12-1899 15:44:38,Contract related,,
Dan,Y,30-12-1899 00:02:22,ID0047,2021-01-01,Y,30-12-1899 17:13:55,Admin Support,3,107
Martha,N,,ID0048,2021-01-01,N,30-12-1899 17:13:55,Contract related,,
Joe,Y,30-12-1899 00:03:35,ID0049,2021-01-01,Y,30-12-1899 17:25:26,Technical Support,5,104
Dan,N,,ID0050,2021-01-01,N,30-12-1899 17:25:26,Technical Support,,
Martha,N,,ID0051,2021-01-01,N,30-12-1899 17:35:31,Contract related,,
Jim,N,,ID0052,2021-01-01,N,30-12-1899 17:35:31,Admin Support,,
Stewart,Y,30-12-1899 00:01:15,ID0053,2021-01-01,Y,30-12-1899 17:36:58,Payment related,5,13
Dan,Y,30-12-1899 00:02:32,ID0054,2021-01-01,Y,30-12-1899 17:36:58,Payment related,5,119
Becky,Y,30-12-1899 00:01:19,ID0055,2021-01-01,Y,30-12-1899 17:44:10,Streaming,3,35
Dan,Y,30-12-1899 00:06:45,ID0056,2021-01-01,Y,30-12-1899 17:44:10,Streaming,4,83
Jim,Y,30-12-1899 00:02:52,ID0057,2021-01-01,Y,30-12-1899 17:57:07,Technical Support,2,48
Stewart,Y,30-12-1899 00:03:23,ID0058,2021-01-01,Y,30-12-1899 17:57:07,Admin Support,5,45
Dan,Y,30-12-1899 00:06:00,ID0059,2021-01-02,Y,30-12-1899 09:05:46,Technical Support,5,65
Dan,Y,30-12-1899 00:04:26,ID0060,2021-01-02,Y,30-12-1899 09:05:46,Contract related,3,50
Diane,Y,30-12-1899 00:06:15,ID0061,2021-01-02,Y,30-12-1899 09:18:43,Streaming,3,17
Joe,N,,ID0062,2021-01-02,N,30-12-1899 09:18:43,Technical Support,,
Dan,Y,30-12-1899 00:06:46,ID0063,2021-01-02,Y,30-12-1899 09:20:10,Streaming,1,96
Stewart,Y,30-12-1899 00:06:23,ID0064,2021-01-02,Y,30-12-1899 09:20:10,Streaming,3,90
Jim,Y,30-12-1899 00:06:25,ID0065,2021-01-02,Y,30-12-1899 09:38:53,Contract related,2,98
Diane,Y,30-12-1899 00:01:23,ID0066,2021-01-02,N,30-12-1899 09:38:53,Technical Support,4,90
Jim,Y,30-12-1899 00:05:49,ID0067,2021-01-02,Y,30-12-1899 10:04:48,Contract related,5,98
Jim,Y,30-12-1899 00:03:12,ID0068,2021-01-02,Y,30-12-1899 10:04:48,Contract related,5,70
Diane,Y,30-12-1899 00:04:45,ID0069,2021-01-02,Y,30-12-1899 10:33:36,Contract related,4,69
Diane,N,,ID0070,2021-01-02,N,30-12-1899 10:33:36,Admin Support,,
Joe,Y,30-12-1899 00:02:11,ID0071,2021-01-02,Y,30-12-1899 11:08:10,Technical Support,4,120
Stewart,Y,30-12-1899 00:05:51,ID0072,2021-01-02,Y,30-12-1899 11:08:10,Admin Support,5,113
Greg,Y,30-12-1899 00:02:19,ID0073,2021-01-02,N,30-12-1899 11:26:53,Payment related,5,10
Becky,Y,30-12-1899 00:04:53,ID0074,2021-01-02,Y,30-12-1899 11:26:53,Contract related,1,122
Stewart,Y,30-12-1899 00:01:38,ID0075,2021-01-02,N,30-12-1899 11:42:43,Technical Support,3,125
Diane,N,,ID0076,2021-01-02,N,30-12-1899 11:42:43,Admin Support,,
Martha,Y,30-12-1899 00:06:38,ID0077,2021-01-02,Y,30-12-1899 11:47:02,Technical Support,2,33
Dan,Y,30-12-1899 00:06:22,ID0078,2021-01-02,Y,30-12-1899 11:47:02,Contract related,2,51
Becky,Y,30-12-1899 00:03:28,ID0079,2021-01-02,Y,30-12-1899 11:54:14,Contract related,3,58
Dan,Y,30-12-1899 00:04:47,ID0080,2021-01-02,Y,30-12-1899 11:54:14,Admin Support,5,121
Diane,Y,30-12-1899 00:02:06,ID0081,2021-01-02,Y,30-12-1899 12:00:00,Admin Support,4,118
Greg,Y,30-12-1899 00:06:56,ID0082,2021-01-02,Y,30-12-1899 12:00:00,Payment related,4,52
Stewart,Y,30-12-1899 00:04:44,ID0083,2021-01-02,Y,30-12-1899 12:20:10,Admin Support,3,55
Dan,Y,30-12-1899 00:05:59,ID0084,2021-01-02,Y,30-12-1899 12:20:10,Contract related,4,68
Becky,Y,30-12-1899 00:04:22,ID0085,2021-01-02,Y,30-12-1899 12:41:46,Technical Support,5,106
Martha,Y,30-12-1899 00:04:36,ID0086,2021-01-02,Y,30-12-1899 12:41:46,Technical Support,3,32
Jim,N,,ID0087,2021-01-02,N,30-12-1899 12:44:38,Payment related,,
Martha,Y,30-12-1899 00:01:26,ID0088,2021-01-02,N,30-12-1899 12:44:38,Admin Support,4,45
Joe,Y,30-12-1899 00:03:32,ID0089,2021-01-02,Y,30-12-1899 12:59:02,Technical Support,4,119
Dan,N,,ID0090,2021-01-02,N,30-12-1899 12:59:02,Streaming,,
Jim,Y,30-12-1899 00:05:41,ID0091,2021-01-02,Y,30-12-1899 13:03:22,Contract related,1,46
Stewart,Y,30-12-1899 00:01:28,ID0092,2021-01-02,Y,30-12-1899 13:03:22,Technical Support,3,101
Jim,Y,30-12-1899 00:02:52,ID0093,2021-01-02,Y,30-12-1899 13:04:48,Technical Support,3,56
Becky,Y,30-12-1899 00:00:53,ID0094,2021-01-02,Y,30-12-1899 13:04:48,Technical Support,3,80
Diane,Y,30-12-1899 00:01:36,ID0095,2021-01-02,Y,30-12-1899 13:13:26,Streaming,3,24
Stewart,Y,30-12-1899 00:03:54,ID0096,2021-01-02,Y,30-12-1899 13:13:26,Payment related,2,113
Greg,Y,30-12-1899 00:02:03,ID0097,2021-01-02,Y,30-12-1899 13:20:38,Contract related,4,19
Martha,N,,ID0098,2021-01-02,N,30-12-1899 13:20:38,Streaming,,
Dan,Y,30-12-1899 00:06:37,ID0099,2021-01-02,Y,30-12-1899 13:20:38,Contract related,3,45
Diane,Y,30-12-1899 00:05:11,ID0100,2021-01-02,Y,30-12-1899 13:20:38,Technical Support,1,95
Becky,N,,ID0101,2021-01-02,N,30-12-1899 13:45:07,Technical Support,,
Martha,Y,30-12-1899 00:05:31,ID0102,2021-01-02,N,30-12-1899 13:45:07,Technical Support,1,79
Diane,Y,30-12-1899 00:03:56,ID0103,2021-01-02,Y,30-12-1899 13:49:26,Payment related,2,22
Martha,Y,30-12-1899 00:06:36,ID0104,2021-01-02,Y,30-12-1899 13:49:26,Contract related,1,38
Becky,Y,30-12-1899 00:03:25,ID0105,2021-01-02,Y,30-12-1899 13:53:46,Technical Support,5,112
Becky,Y,30-12-1899 00:04:57,ID0106,2021-01-02,Y,30-12-1899 13:53:46,Payment related,3,65
Joe,N,,ID0107,2021-01-02,N,30-12-1899 14:22:34,Streaming,,
Becky,Y,30-12-1899 00:02:32,ID0108,2021-01-02,N,30-12-1899 14:22:34,Contract related,1,55
Stewart,N,,ID0109,2021-01-02,N,30-12-1899 14:52:48,Admin Support,,
Joe,Y,30-12-1899 00:02:38,ID0110,2021-01-02,Y,30-12-1899 14:52:48,Streaming,2,19
Becky,Y,30-12-1899 00:00:56,ID0111,2021-01-02,Y,30-12-1899 15:10:05,Technical Support,3,53
Diane,Y,30-12-1899 00:06:06,ID0112,2021-01-02,Y,30-12-1899 15:10:05,Technical Support,5,24
Martha,Y,30-12-1899 00:06:01,ID0113,2021-01-02,Y,30-12-1899 15:36:00,Streaming,3,73
Stewart,N,,ID0114,2021-01-02,N,30-12-1899 15:36:00,Technical Support,,
Jim,Y,30-12-1899 00:05:47,ID0115,2021-01-02,Y,30-12-1899 17:36:58,Technical Support,5,55
Greg,N,,ID0116,2021-01-02,N,30-12-1899 17:36:58,Payment related,,
Diane,N,,ID0117,2021-01-02,N,30-12-1899 17:47:02,Streaming,,
Martha,Y,30-12-1899 00:05:18,ID0118,2021-01-02,Y,30-12-1899 17:47:02,Streaming,4,23
Dan,Y,30-12-1899 00:02:23,ID0119,2021-01-03,N,30-12-1899 09:10:05,Payment related,5,124
Dan,N,,ID0120,2021-01-03,N,30-12-1899 09:10:05,Contract related,,
Dan,Y,30-12-1899 00:01:01,ID0121,2021-01-03,Y,30-12-1899 09:47:31,Technical Support,4,103
Martha,Y,30-12-1899 00:03:45,ID0122,2021-01-03,Y,30-12-1899 09:47:31,Contract related,4,69
Joe,Y,30-12-1899 00:01:12,ID0123,2021-01-03,Y,30-12-1899 10:29:17,Streaming,3,78
Martha,Y,30-12-1899 00:03:26,ID0124,2021-01-03,Y,30-12-1899 10:29:17,Technical Support,5,78
Martha,N,,ID0125,2021-01-03,N,30-12-1899 10:37:55,Technical Support,,
Diane,Y,30-12-1899 00:05:38,ID0126,2021-01-03,Y,30-12-1899 10:37:55,Payment related,4,44
Martha,Y,30-12-1899 00:02:46,ID0127,2021-01-03,Y,30-12-1899 10:52:19,Admin Support,4,35
Becky,Y,30-12-1899 00:05:26,ID0128,2021-01-03,Y,30-12-1899 10:52:19,Admin Support,4,102
Jim,Y,30-12-1899 00:05:51,ID0129,2021-01-03,Y,30-12-1899 10:52:19,Contract related,3,99
Jim,Y,30-12-1899 00:04:09,ID0130,2021-01-03,Y,30-12-1899 10:52:19,Admin Support,3,29
Becky,Y,30-12-1899 00:00:59,ID0131,2021-01-03,N,30-12-1899 10:58:05,Admin Support,5,42
Diane,Y,30-12-1899 00:05:40,ID0132,2021-01-03,Y,30-12-1899 10:58:05,Payment related,4,113
Dan,Y,30-12-1899 00:00:53,ID0133,2021-01-03,Y,30-12-1899 11:02:24,Admin Support,2,124
Jim,N,,ID0134,2021-01-03,N,30-12-1899 11:02:24,Technical Support,,
Dan,Y,30-12-1899 00:02:13,ID0135,2021-01-03,Y,30-12-1899 11:03:50,Payment related,1,55
Greg,Y,30-12-1899 00:05:59,ID0136,2021-01-03,N,30-12-1899 11:03:50,Technical Support,3,105
Stewart,Y,30-12-1899 00:03:12,ID0137,2021-01-03,N,30-12-1899 11:06:43,Contract related,5,112
Martha,N,,ID0138,2021-01-03,N,30-12-1899 11:06:43,Contract related,,
Becky,Y,30-12-1899 00:06:20,ID0139,2021-01-03,Y,30-12-1899 11:16:48,Technical Support,5,43
Joe,Y,30-12-1899 00:01:44,ID0140,2021-01-03,Y,30-12-1899 11:16:48,Payment related,3,20
Greg,Y,30-12-1899 00:01:43,ID0141,2021-01-03,Y,30-12-1899 11:26:53,Technical Support,5,84
Jim,Y,30-12-1899 00:02:44,ID0142,2021-01-03,Y,30-12-1899 11:26:53,Contract related,4,20
Greg,Y,30-12-1899 00:02:16,ID0143,2021-01-03,Y,30-12-1899 11:38:24,Streaming,3,101
Diane,Y,30-12-1899 00:02:55,ID0144,2021-01-03,Y,30-12-1899 11:38:24,Technical Support,5,31
Jim,Y,30-12-1899 00:04:09,ID0145,2021-01-03,Y,30-12-1899 11:52:48,Contract related,5,56
Joe,N,,ID0146,2021-01-03,N,30-12-1899 11:52:48,Contract related,,
Joe,Y,30-12-1899 00:01:27,ID0147,2021-01-03,Y,30-12-1899 11:55:41,Payment related,5,77
Jim,Y,30-12-1899 00:00:50,ID0148,2021-01-03,Y,30-12-1899 11:55:41,Payment related,4,46
Stewart,Y,30-12-1899 00:04:26,ID0149,2021-01-03,Y,30-12-1899 11:58:34,Admin Support,3,88
Diane,Y,30-12-1899 00:00:58,ID0150,2021-01-03,Y,30-12-1899 11:58:34,Payment related,1,88
Joe,Y,30-12-1899 00:06:03,ID0151,2021-01-03,Y,30-12-1899 12:33:07,Technical Support,1,124
Stewart,N,,ID0152,2021-01-03,N,30-12-1899 12:33:07,Contract related,,
Martha,Y,30-12-1899 00:06:59,ID0153,2021-01-03,N,30-12-1899 12:54:43,Payment related,4,52
Joe,Y,30-12-1899 00:06:10,ID0154,2021-01-03,Y,30-12-1899 12:54:43,Admin Support,5,67
Martha,Y,30-12-1899 00:04:16,ID0155,2021-01-03,Y,30-12-1899 13:12:00,Payment related,3,119
Dan,Y,30-12-1899 00:04:37,ID0156,2021-01-03,Y,30-12-1899 13:12:00,Admin Support,2,98
Jim,N,,ID0157,2021-01-03,N,30-12-1899 13:14:53,Technical Support,,
Joe,Y,30-12-1899 00:04:18,ID0158,2021-01-03,Y,30-12-1899 13:14:53,Technical Support,3,118
Becky,Y,30-12-1899 00:01:15,ID0159,2021-01-03,Y,30-12-1899 13:27:50,Admin Support,3,123
Becky,Y,30-12-1899 00:05:37,ID0160,2021-01-03,N,30-12-1899 13:27:50,Streaming,1,86
Greg,Y,30-12-1899 00:02:09,ID0161,2021-01-03,Y,30-12-1899 13:35:02,Admin Support,3,104
Greg,Y,30-12-1899 00:01:33,ID0162,2021-01-03,Y,30-12-1899 13:35:02,Payment related,2,69
Dan,Y,30-12-1899 00:02:38,ID0163,2021-01-03,Y,30-12-1899 13:58:05,Contract related,1,113
Joe,Y,30-12-1899 00:03:23,ID0164,2021-01-03,Y,30-12-1899 13:58:05,Streaming,5,88
Joe,N,,ID0165,2021-01-03,N,30-12-1899 13:58:05,Streaming,,
Stewart,N,,ID0166,2021-01-03,N,30-12-1899 13:58:05,Payment related,,
Joe,Y,30-12-1899 00:00:58,ID0167,2021-01-03,Y,30-12-1899 14:03:50,Payment related,2,84
Diane,Y,30-12-1899 00:01:22,ID0168,2021-01-03,Y,30-12-1899 14:03:50,Streaming,3,113
Joe,Y,30-12-1899 00:05:31,ID0169,2021-01-03,Y,30-12-1899 14:47:02,Streaming,4,38
Dan,Y,30-12-1899 00:06:14,ID0170,2021-01-03,Y,30-12-1899 14:47:02,Streaming,4,14
Martha,Y,30-12-1899 00:05:32,ID0171,2021-01-03,N,30-12-1899 15:34:34,Streaming,4,25
Dan,N,,ID0172,2021-01-03,N,30-12-1899 15:34:34,Contract related,,
Diane,N,,ID0173,2021-01-03,N,30-12-1899 16:29:17,Technical Support,,
Joe,Y,30-12-1899 00:02:07,ID0174,2021-01-03,Y,30-12-1899 16:29:17,Payment related,4,117
Stewart,Y,30-12-1899 00:06:01,ID0175,2021-01-03,N,30-12-1899 17:31:12,Payment related,2,57
Martha,Y,30-12-1899 00:05:19,ID0176,2021-01-03,Y,30-12-1899 17:31:12,Technical Support,5,119
Martha,N,,ID0177,2021-01-04,N,30-12-1899 09:01:26,Contract related,,
Diane,Y,30-12-1899 00:06:32,ID0178,2021-01-04,Y,30-12-1899 09:01:26,Streaming,5,93
Martha,Y,30-12-1899 00:01:04,ID0179,2021-01-04,Y,30-12-1899 09:31:41,Payment related,4,86
Joe,N,,ID0180,2021-01-04,N,30-12-1899 09:31:41,Streaming,,
Dan,Y,30-12-1899 00:02:59,ID0181,2021-01-04,Y,30-12-1899 09:43:12,Contract related,3,92
Greg,N,,ID0182,2021-01-04,N,30-12-1899 09:43:12,Streaming,,
Martha,Y,30-12-1899 00:05:42,ID0183,2021-01-04,Y,30-12-1899 10:03:22,Technical Support,3,106
Stewart,Y,30-12-1899 00:02:44,ID0184,2021-01-04,Y,30-12-1899 10:03:22,Technical Support,3,67
Jim,Y,30-12-1899 00:04:17,ID0185,2021-01-04,Y,30-12-1899 10:27:50,Streaming,3,90
Diane,N,,ID0186,2021-01-04,N,30-12-1899 10:27:50,Technical Support,,
Becky,Y,30-12-1899 00:03:49,ID0187,2021-01-04,N,30-12-1899 11:09:36,Streaming,4,50
Diane,Y,30-12-1899 00:04:16,ID0188,2021-01-04,N,30-12-1899 11:09:36,Admin Support,3,89
Jim,Y,30-12-1899 00:06:18,ID0189,2021-01-04,Y,30-12-1899 11:13:55,Admin Support,3,74
Martha,Y,30-12-1899 00:02:22,ID0190,2021-01-04,Y,30-12-1899 11:13:55,Payment related,2,63
Becky,Y,30-12-1899 00:06:31,ID0191,2021-01-04,Y,30-12-1899 11:18:14,Contract related,5,45
Martha,N,,ID0192,2021-01-04,N,30-12-1899 11:18:14,Technical Support,,
Dan,Y,30-12-1899 00:06:43,ID0193,2021-01-04,Y,30-12-1899 11:22:34,Payment related,2,31
Joe,N,,ID0194,2021-01-04,N,30-12-1899 11:22:34,Streaming,,
Joe,Y,30-12-1899 00:03:44,ID0195,2021-01-04,Y,30-12-1899 11:32:38,Contract related,5,43
Martha,Y,30-12-1899 00:05:42,ID0196,2021-01-04,Y,30-12-1899 11:32:38,Streaming,4,50
Dan,Y,30-12-1899 00:05:12,ID0197,2021-01-04,Y,30-12-1899 12:02:53,Technical Support,4,48
Martha,Y,30-12-1899 00:02:44,ID0198,2021-01-04,Y,30-12-1899 12:02:53,Admin Support,5,113
Jim,N,,ID0199,2021-01-04,N,30-12-1899 12:15:50,Streaming,,
Joe,Y,30-12-1899 00:06:40,ID0200,2021-01-04,Y,30-12-1899 12:15:50,Technical Support,5,103
Becky,Y,30-12-1899 00:04:27,ID0201,2021-01-04,N,30-12-1899 12:15:50,Technical Support,3,95
Joe,Y,30-12-1899 00:05:04,ID0202,2021-01-04,Y,30-12-1899 12:15:50,Admin Support,1,30
Greg,Y,30-12-1899 00:03:19,ID0203,2021-01-04,Y,30-12-1899 13:32:10,Admin Support,3,124
Diane,Y,30-12-1899 00:02:03,ID0204,2021-01-04,Y,30-12-1899 13:32:10,Admin Support,5,17
Stewart,Y,30-12-1899 00:06:00,ID0205,2021-01-04,Y,30-12-1899 13:45:07,Streaming,3,113
Jim,Y,30-12-1899 00:02:27,ID0206,2021-01-04,Y,30-12-1899 13:45:07,Technical Support,5,25
Jim,Y,30-12-1899 00:04:22,ID0207,2021-01-04,Y,30-12-1899 13:56:38,Admin Support,5,52
Dan,Y,30-12-1899 00:02:44,ID0208,2021-01-04,Y,30-12-1899 13:56:38,Admin Support,5,28
Greg,Y,30-12-1899 00:03:05,ID0209,2021-01-04,Y,30-12-1899 14:25:26,Technical Support,3,69
Martha,Y,30-12-1899 00:03:52,ID0210,2021-01-04,Y,30-12-1899 14:25:26,Streaming,3,106
Jim,N,,ID0211,2021-01-04,N,30-12-1899 14:28:19,Technical Support,,
Joe,Y,30-12-1899 00:04:59,ID0212,2021-01-04,Y,30-12-1899 14:28:19,Payment related,3,26
Joe,Y,30-12-1899 00:05:55,ID0213,2021-01-04,Y,30-12-1899 14:31:12,Payment related,4,53
Martha,Y,30-12-1899 00:04:10,ID0214,2021-01-04,Y,30-12-1899 14:31:12,Technical Support,2,77
Jim,Y,30-12-1899 00:03:02,ID0215,2021-01-04,Y,30-12-1899 14:49:55,Contract related,3,45
Becky,N,,ID0216,2021-01-04,N,30-12-1899 14:49:55,Technical Support,,
Greg,Y,30-12-1899 00:04:16,ID0217,2021-01-04,Y,30-12-1899 15:23:02,Streaming,4,56
Stewart,Y,30-12-1899 00:03:56,ID0218,2021-01-04,Y,30-12-1899 15:23:02,Admin Support,2,13
Stewart,Y,30-12-1899 00:06:50,ID0219,2021-01-04,Y,30-12-1899 15:48:58,Admin Support,5,120
Diane,Y,30-12-1899 00:00:50,ID0220,2021-01-04,Y,30-12-1899 15:48:58,Payment related,1,22
Martha,Y,30-12-1899 00:03:21,ID0221,2021-01-04,Y,30-12-1899 16:48:00,Payment related,4,81
Jim,N,,ID0222,2021-01-04,N,30-12-1899 16:48:00,Streaming,,
Martha,Y,30-12-1899 00:00:48,ID0223,2021-01-04,Y,30-12-1899 16:49:26,Contract related,2,71
Stewart,Y,30-12-1899 00:01:33,ID0224,2021-01-04,Y,30-12-1899 16:49:26,Payment related,4,75
Martha,Y,30-12-1899 00:02:42,ID0225,2021-01-04,Y,30-12-1899 16:49:26,Technical Support,4,77
Joe,Y,30-12-1899 00:06:27,ID0226,2021-01-04,Y,30-12-1899 16:49:26,Streaming,4,88
Stewart,Y,30-12-1899 00:03:05,ID0227,2021-01-04,Y,30-12-1899 17:35:31,Admin Support,2,82
Jim,Y,30-12-1899 00:06:30,ID0228,2021-01-04,Y,30-12-1899 17:35:31,Technical Support,3,110
Martha,Y,30-12-1899 00:01:32,ID0229,2021-01-04,N,30-12-1899 17:39:50,Admin Support,3,70
Becky,Y,30-12-1899 00:03:40,ID0230,2021-01-04,Y,30-12-1899 17:39:50,Admin Support,3,117
Joe,Y,30-12-1899 00:00:50,ID0231,2021-01-05,Y,30-12-1899 09:08:38,Streaming,3,18
Joe,Y,30-12-1899 00:02:36,ID0232,2021-01-05,Y,30-12-1899 09:08:38,Streaming,4,113
Stewart,Y,30-12-1899 00:03:29,ID0233,2021-01-05,N,30-12-1899 09:25:55,Contract related,5,68
Greg,Y,30-12-1899 00:04:14,ID0234,2021-01-05,Y,30-12-1899 09:25:55,Payment related,5,67
Joe,Y,30-12-1899 00:01:07,ID0235,2021-01-05,Y,30-12-1899 09:33:07,Technical Support,5,36
Stewart,N,,ID0236,2021-01-05,N,30-12-1899 09:33:07,Streaming,,
Becky,Y,30-12-1899 00:02:30,ID0237,2021-01-05,Y,30-12-1899 10:00:29,Technical Support,1,33
Dan,Y,30-12-1899 00:01:59,ID0238,2021-01-05,Y,30-12-1899 10:00:29,Contract related,5,113
Greg,Y,30-12-1899 00:06:19,ID0239,2021-01-05,Y,30-12-1899 10:49:26,Contract related,3,106
Joe,Y,30-12-1899 00:04:59,ID0240,2021-01-05,Y,30-12-1899 10:49:26,Streaming,3,23
Joe,N,,ID0241,2021-01-05,N,30-12-1899 11:31:12,Streaming,,
Greg,Y,30-12-1899 00:04:42,ID0242,2021-01-05,Y,30-12-1899 11:31:12,Payment related,1,11
Greg,Y,30-12-1899 00:04:45,ID0243,2021-01-05,Y,30-12-1899 11:41:17,Contract related,5,73
Dan,Y,30-12-1899 00:04:49,ID0244,2021-01-05,Y,30-12-1899 11:41:17,Admin Support,5,109
Martha,Y,30-12-1899 00:04:14,ID0245,2021-01-05,Y,30-12-1899 11:49:55,Payment related,4,29
Dan,N,,ID0246,2021-01-05,N,30-12-1899 11:49:55,Streaming,,
Becky,Y,30-12-1899 00:01:14,ID0247,2021-01-05,Y,30-12-1899 11:49:55,Admin Support,4,81
Greg,Y,30-12-1899 00:03:52,ID0248,2021-01-05,Y,30-12-1899 11:49:55,Contract related,1,59
Becky,Y,30-12-1899 00:06:29,ID0249,2021-01-05,Y,30-12-1899 12:00:00,Streaming,4,32
Martha,Y,30-12-1899 00:00:42,ID0250,2021-01-05,Y,30-12-1899 12:00:00,Admin Support,4,116
Diane,Y,30-12-1899 00:01:55,ID0251,2021-01-05,Y,30-12-1899 12:12:58,Payment related,5,92
Greg,Y,30-12-1899 00:06:02,ID0252,2021-01-05,Y,30-12-1899 12:12:58,Streaming,5,62
Joe,Y,30-12-1899 00:01:53,ID0253,2021-01-05,Y,30-12-1899 13:04:48,Payment related,5,83
Joe,Y,30-12-1899 00:02:31,ID0254,2021-01-05,Y,30-12-1899 13:04:48,Admin Support,3,71
